Constituency_No,Year,Position,Votes,Candidate_Type,Valid_Votes,Electors,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Margin,Margin_Percentage,ENOP,Party_ID,last_poll,Contested,Recontest
45,2014,1,522531.0,1,976681,1719998.0,18,56.78,53.5,366594.0,37.53,2.94,5792.0,True,2.0,True
46,2014,1,493088.0,1,896256,1367362.0,10,65.55,55.02,150051.0,16.74,2.22,18691.0,True,1.0,False
47,2014,1,607665.0,1,1260289,1758293.0,15,71.68,48.22,33259.0,2.64,2.27,5792.0,True,2.0,False
48,2014,1,640428.0,1,1188871,1630604.0,13,72.91,53.87,177810.0,14.96,2.27,12961.0,True,2.0,True
1,2014,1,292102.0,1,640870,855360.0,8,74.92,45.58,94674.0,14.77,3.12,3482.0,True,3.0,True
2,2014,1,296770.0,2,771766,919009.0,10,83.98,38.45,15637.0,2.03,3.33,3482.0,True,2.0,True
1,2014,1,209340.0,2,619987,980740.0,8,63.22,33.77,40379.0,6.51,4.35,3482.0,True,2.0,True
2,2014,1,239301.0,2,458071,586501.0,2,78.1,52.24,39716.0,8.67,2.17,5671.0,False,10.0,False
1,2014,1,210485.0,2,433201,702170.0,3,61.69,48.59,6154.0,1.42,2.17,3482.0,True,3.0,True
1,2014,1,713372.0,2,1038910,1182972.0,3,87.82,68.67,400225.0,38.52,1.79,5545.0,False,1.0,False
1,2014,1,383230.0,1,1123301,1430717.0,8,78.51,34.12,11178.0,1.0,3.45,9079.0,True,1.0,False
2,2014,1,340508.0,2,1010711,1410532.0,12,71.65,33.69,18829.0,1.86,3.57,1605.0,True,6.0,True
3,2014,1,358618.0,1,984309,1297098.0,11,75.89,36.43,30576.0,3.11,3.33,9079.0,True,1.0,False
4,2014,1,434471.0,2,1083869,1346683.0,8,80.48,40.09,157317.0,14.51,3.7,9079.0,True,1.0,False
5,2014,1,393779.0,2,1053399,1327555.0,9,79.35,37.38,122866.0,11.66,3.85,9079.0,True,2.0,False
6,2014,1,433768.0,1,1049450,1366218.0,10,76.81,41.33,141825.0,13.51,3.12,9079.0,True,1.0,False
7,2014,1,502338.0,3,1081339,1469498.0,8,73.59,46.46,179359.0,16.59,2.86,9079.0,True,9.0,True
8,2014,1,541349.0,3,980435,1303733.0,9,75.2,55.22,320271.0,32.67,2.7,9079.0,True,1.0,False
9,2014,1,453277.0,1,1042101,1363471.0,12,76.43,43.5,137340.0,13.18,3.12,9079.0,True,6.0,True
10,2014,1,453519.0,1,1170405,1563025.0,8,74.88,38.75,104299.0,8.91,3.33,9079.0,True,2.0,True
11,2014,1,370871.0,1,1117536,1474135.0,15,75.81,33.19,56347.0,5.04,3.7,9079.0,True,1.0,False
12,2014,1,373887.0,2,1022172,1297210.0,7,78.8,36.58,2042.0,0.2,3.57,9079.0,True,1.0,False
13,2014,1,421458.0,1,839415,1143602.0,8,73.4,50.21,181017.0,21.56,2.86,9079.0,False,1.0,False
14,2014,1,526085.0,1,978604,1371617.0,10,71.35,53.76,306762.0,31.35,2.78,9079.0,True,6.0,True
15,2014,1,600023.0,1,1137607,1555444.0,7,73.14,52.74,209300.0,18.4,2.44,9079.0,True,2.0,True
16,2014,1,624492.0,3,1131932,1499673.0,7,75.48,55.17,276394.0,24.42,2.5,9079.0,True,1.0,False
17,2014,1,523161.0,1,1039389,1404581.0,7,74.0,50.33,263361.0,25.34,2.86,9079.0,True,5.0,True
18,2014,1,439252.0,1,891822,1527768.0,11,58.37,49.25,189477.0,21.25,2.86,9079.0,True,5.0,True
19,2014,1,541473.0,1,896281,1408780.0,9,63.62,60.41,311997.0,34.81,2.27,9079.0,True,1.0,False
20,2014,1,398107.0,1,905362,1334268.0,11,67.85,43.97,127720.0,14.11,3.23,9079.0,True,2.0,True
21,2014,1,395109.0,2,989444,1300437.0,9,76.09,39.93,19328.0,1.95,3.23,9079.0,True,1.0,False
1,2014,1,255826.0,1,740017,901357.0,30,82.1,34.57,60854.0,8.22,4.35,737.0,True,1.0,False
1,2014,1,482255.0,1,1042699,1500337.0,13,69.5,46.25,136065.0,13.05,2.86,1605.0,False,5.0,True
2,2014,1,482876.0,1,1007196,1477262.0,23,68.18,47.94,102770.0,10.2,2.63,3482.0,True,4.0,False
3,2014,1,467332.0,1,1040518,1563409.0,17,66.55,44.91,100569.0,9.67,2.94,16994.0,True,1.0,False
4,2014,1,380479.0,3,1040762,1551497.0,24,67.08,36.56,70981.0,6.82,3.57,3482.0,True,1.0,False
5,2014,1,346643.0,3,961297,1485286.0,17,64.72,36.06,13582.0,1.41,3.33,1605.0,True,1.0,False
6,2014,1,347394.0,1,1086563,1564721.0,18,69.44,31.97,23697.0,2.18,3.7,16994.0,True,5.0,True
7,2014,1,300459.0,1,1100457,1561201.0,22,70.49,27.3,19709.0,1.79,4.35,3482.0,True,2.0,True
8,2014,1,367293.0,3,1030954,1396957.0,15,73.8,35.63,54144.0,5.25,3.23,13.0,True,1.0,False
9,2014,1,450751.0,3,1032107,1455075.0,19,70.93,43.67,172516.0,16.71,3.12,13.0,True,1.0,False
10,2014,1,487932.0,3,1105412,1522111.0,15,72.62,44.14,31420.0,2.84,2.7,16994.0,True,2.0,True
11,2014,1,514727.0,1,1176767,1525289.0,29,77.15,43.74,19395.0,1.65,2.63,16994.0,True,2.0,True
12,2014,1,533237.0,1,1099467,1424743.0,21,77.17,48.5,211721.0,19.26,2.78,13.0,True,1.0,False
13,2014,1,365671.0,1,1120933,1580273.0,20,70.93,32.62,20942.0,1.87,3.45,13.0,True,1.0,False
1,2014,1,658130.0,3,1256806,1718414.0,17,73.14,52.37,291741.0,23.21,2.78,1605.0,True,6.0,True
2,2014,1,584932.0,3,929751,1592355.0,8,58.39,62.91,308079.0,33.14,2.04,1605.0,True,2.0,True
3,2014,1,595756.0,1,1131104,1753825.0,12,64.49,52.67,294739.0,26.06,2.7,1605.0,True,1.0,False
4,2014,1,488182.0,1,1006465,1697470.0,12,59.29,48.5,233835.0,23.23,2.94,1605.0,True,2.0,False
5,2014,1,499428.0,1,1065750,1769882.0,15,60.22,46.86,239196.0,22.44,3.23,1605.0,True,1.0,False
6,2014,1,632930.0,1,1013691,1700307.0,12,59.62,62.44,332896.0,32.84,2.08,1605.0,True,1.0,False
7,2014,1,863358.0,1,1296806,1957820.0,16,66.24,66.58,539345.0,41.59,2.0,1605.0,True,1.0,False
8,2014,1,642278.0,1,1062305,1626442.0,19,65.31,60.46,283895.0,26.72,2.08,1605.0,False,1.0,False
9,2014,1,579825.0,3,962432,1690705.0,12,56.92,60.25,245468.0,25.5,2.08,1605.0,True,2.0,False
10,2014,1,402407.0,3,845941,1549468.0,14,54.6,47.57,27216.0,3.22,2.33,1605.0,True,2.0,True
11,2014,1,315059.0,2,930492,1524100.0,14,61.05,33.86,45404.0,4.88,4.17,1605.0,True,1.0,False
12,2014,1,548537.0,1,1043638,1710775.0,22,61.0,52.56,135506.0,12.98,2.27,1605.0,True,2.0,True
13,2014,1,637874.0,1,1156314,1683261.0,12,68.69,55.16,171983.0,14.87,2.17,1605.0,False,1.0,False
14,2014,1,414791.0,1,1004019,1678660.0,13,59.81,41.31,75218.0,7.49,3.23,1605.0,True,1.0,False
15,2014,1,711772.0,1,1095587,1902094.0,13,57.6,64.97,399039.0,36.42,2.0,1605.0,True,1.0,False
16,2014,1,713515.0,1,1078598,1727791.0,13,62.43,66.15,410051.0,38.02,1.92,1605.0,True,1.0,False
17,2014,1,488747.0,1,1219119,1680152.0,11,72.56,40.09,87461.0,7.17,3.33,1605.0,True,5.0,False
18,2014,1,580508.0,1,1087272,1824968.0,16,59.58,53.39,381145.0,35.06,2.86,1605.0,True,2.0,True
19,2014,1,660373.0,2,1193202,1817940.0,8,65.63,55.34,236762.0,19.84,2.27,1605.0,True,1.0,False
20,2014,1,577433.0,2,1171188,1698244.0,6,68.96,49.3,91916.0,7.85,2.44,1605.0,True,1.0,False
21,2014,1,703236.0,1,1172629,1819506.0,14,64.45,59.97,316857.0,27.02,2.13,1605.0,True,2.0,False
22,2014,1,644794.0,1,982119,1701194.0,12,57.73,65.65,395705.0,40.29,2.04,1605.0,True,1.0,False
23,2014,1,630317.0,1,1104090,1754901.0,11,62.91,57.09,246264.0,22.3,2.22,1605.0,True,3.0,False
24,2014,1,644822.0,1,1154960,1744539.0,12,66.2,55.83,200782.0,17.38,2.17,1605.0,True,1.0,False
25,2014,1,676102.0,1,1146364,1669844.0,6,68.65,58.98,281546.0,24.56,2.13,1605.0,True,3.0,True
1,2014,1,163698.0,1,308967,370770.0,6,83.33,52.98,41742.0,13.51,2.27,7925.0,True,2.0,True
1,2014,1,628499.0,3,1254440,1702833.0,14,73.67,50.1,323430.0,25.78,2.94,930.0,True,3.0,True
2,2014,1,406704.0,1,910114,1422392.0,40,63.98,44.69,99704.0,10.96,3.12,930.0,True,1.0,False
3,2014,1,434540.0,1,1071409,1795776.0,42,59.66,40.56,135575.0,12.65,3.33,930.0,True,1.0,False
4,2014,1,333296.0,1,814894,1328038.0,20,61.36,40.9,45841.0,5.63,3.23,930.0,True,1.0,False
5,2014,1,545820.0,1,1286647,1946503.0,21,66.1,42.42,102646.0,7.98,3.12,930.0,True,2.0,False
6,2014,1,499395.0,3,1128399,1480123.0,11,76.24,44.26,146866.0,13.02,3.03,930.0,True,1.0,False
7,2014,1,493534.0,1,1089052,1401813.0,27,77.69,45.32,240766.0,22.11,3.23,930.0,True,1.0,False
8,2014,1,383719.0,1,974770,1312259.0,24,74.28,39.37,59393.0,6.09,3.33,930.0,True,1.0,False
9,2014,1,480491.0,1,1068391,1379957.0,15,77.42,44.97,206591.0,19.34,3.23,930.0,True,1.0,False
10,2014,1,468194.0,1,1101345,1358273.0,15,81.08,42.51,77146.0,7.0,2.94,11891.0,True,1.0,False
11,2014,1,500751.0,1,1067447,1352966.0,24,78.9,46.91,168606.0,15.8,2.94,930.0,True,1.0,False
12,2014,1,502721.0,1,1096046,1369668.0,19,80.02,45.87,243844.0,22.25,3.12,930.0,True,1.0,False
13,2014,1,482704.0,3,1067641,1387007.0,20,76.97,45.21,193367.0,18.11,3.23,930.0,True,1.0,False
14,2014,1,533383.0,1,1107241,1412499.0,22,78.39,48.17,223507.0,20.19,3.03,930.0,True,1.0,False
15,2014,1,556546.0,1,1150296,1498350.0,25,76.77,48.38,267610.0,23.26,3.12,930.0,True,1.0,False
16,2014,1,563272.0,1,1058755,1329552.0,26,79.63,53.2,294374.0,27.8,2.78,930.0,True,1.0,False
17,2014,1,466995.0,1,1008582,1321399.0,14,76.33,46.3,211563.0,20.98,3.12,930.0,True,1.0,False
18,2014,1,442778.0,1,1050190,1375589.0,26,76.34,42.16,179315.0,17.07,3.57,930.0,True,1.0,False
19,2014,1,463700.0,3,933076,1269173.0,10,73.52,49.7,104940.0,11.25,2.5,930.0,True,1.0,False
20,2014,1,431717.0,1,1176620,1720221.0,25,68.4,36.69,42016.0,3.57,3.7,930.0,True,1.0,False
21,2014,1,417092.0,1,1012667,1381505.0,18,73.3,41.19,140974.0,13.92,3.33,930.0,True,1.0,False
22,2014,1,510462.0,1,1083364,1400531.0,18,77.35,47.12,127845.0,11.8,2.86,930.0,True,1.0,False
23,2014,1,540722.0,1,1046534,1298322.0,25,80.61,51.67,195247.0,18.66,2.56,930.0,True,7.0,True
24,2014,1,458478.0,1,988250,1387140.0,29,71.24,46.39,150476.0,15.23,3.03,930.0,True,2.0,True
25,2014,1,462693.0,1,1030826,1285576.0,21,80.18,44.89,213048.0,20.67,3.23,930.0,True,1.0,False
26,2014,1,481429.0,1,984538,1247908.0,17,78.9,48.9,203125.0,20.63,2.94,930.0,True,2.0,False
27,2014,1,429536.0,3,1088423,1366190.0,15,79.67,39.46,128495.0,11.81,3.23,930.0,True,1.0,False
28,2014,1,513729.0,1,1025538,1350318.0,19,75.95,50.09,277050.0,27.02,3.12,930.0,True,1.0,False
29,2014,1,434174.0,3,942202,1210626.0,9,77.83,46.08,106079.0,11.26,2.94,930.0,True,2.0,False
30,2014,1,510307.0,1,1012258,1340050.0,12,75.54,50.41,144119.0,14.24,2.63,930.0,True,3.0,False
31,2014,1,475993.0,1,1027036,1412373.0,27,72.72,46.35,229385.0,22.33,3.33,930.0,True,1.0,False
32,2014,1,453785.0,1,974809,1441434.0,31,67.63,46.55,199424.0,20.46,3.23,930.0,True,2.0,False
33,2014,1,571254.0,1,1075583,1441302.0,23,74.63,53.11,314532.0,29.24,2.78,930.0,True,1.0,False
34,2014,1,406694.0,1,1010930,1350495.0,26,74.86,40.23,145551.0,14.4,3.45,930.0,True,1.0,False
35,2014,1,405945.0,1,1001048,1455988.0,31,68.75,40.55,119324.0,11.92,3.7,930.0,True,1.0,False
36,2014,1,366052.0,1,916778,1310406.0,14,69.96,39.93,124002.0,13.53,3.7,930.0,True,1.0,False
37,2014,1,424586.0,3,1017938,1382081.0,18,73.65,41.71,161774.0,15.89,3.7,930.0,True,1.0,False
38,2014,1,398139.0,1,962330,1420435.0,27,67.75,41.37,126099.0,13.1,3.7,930.0,True,1.0,False
39,2014,1,372906.0,1,990742,1467796.0,25,67.5,37.64,128662.0,12.99,4.17,1605.0,True,7.0,True
1,2014,1,671665.0,1,1072749,1248546.0,13,85.92,62.61,503486.0,46.93,2.38,14635.0,True,1.0,False
2,2014,1,623771.0,2,951080,1140276.0,12,83.41,65.59,484358.0,50.93,2.17,14635.0,True,1.0,False
1,2014,1,472999.0,1,1194308,1608833.0,14,74.23,39.6,65090.0,5.45,3.12,1605.0,True,1.0,False
2,2014,1,565909.0,1,1119324,1531767.0,11,73.07,50.56,236828.0,21.16,2.7,1605.0,False,2.0,True
3,2014,1,653391.0,1,1107434,1588475.0,19,69.72,59.0,401150.0,36.22,2.38,1605.0,True,1.0,False
4,2014,1,486913.0,1,1060346,1562081.0,12,67.88,45.92,205774.0,19.41,3.03,1605.0,True,1.0,False
5,2014,1,367825.0,3,942196,1493419.0,14,63.09,39.04,92390.0,9.81,3.23,1605.0,True,1.0,False
6,2014,1,485224.0,1,1127965,1771985.0,18,63.66,43.02,87504.0,7.76,3.03,1605.0,True,1.0,False
7,2014,1,358616.0,1,956389,1616972.0,12,59.15,37.5,23435.0,2.45,3.33,1605.0,True,1.0,False
8,2014,1,360242.0,1,1057002,1693229.0,13,62.43,34.08,5174.0,0.49,3.45,1605.0,True,1.0,False
9,2014,1,528880.0,1,1095860,1544245.0,15,70.96,48.26,158214.0,14.44,2.78,1605.0,True,1.0,False
10,2014,1,532981.0,1,1113384,1764388.0,13,63.1,47.87,232326.0,20.87,2.94,1605.0,True,3.0,True
11,2014,1,423475.0,1,1004263,1505175.0,14,66.72,42.17,209866.0,20.9,3.45,1605.0,True,1.0,False
12,2014,1,758482.0,1,1342321,2357553.0,15,56.94,56.51,567260.0,42.26,2.7,1605.0,True,1.0,False
13,2014,1,599702.0,1,1199262,1986109.0,24,60.38,50.01,280212.0,23.37,2.86,1605.0,True,1.0,False
14,2014,1,604449.0,3,1009710,1736436.0,10,58.15,59.86,421973.0,41.79,2.44,1605.0,True,1.0,False
15,2014,1,514622.0,1,1064357,1793126.0,14,59.36,48.35,286736.0,26.94,3.03,1605.0,True,2.0,False
16,2014,1,544277.0,3,1049273,1758927.0,9,59.65,51.87,326386.0,31.11,2.86,1605.0,True,1.0,False
17,2014,1,574633.0,1,1076868,1682260.0,20,64.01,53.36,330743.0,30.71,2.78,1605.0,True,1.0,False
18,2014,1,583716.0,3,1070400,1814739.0,15,58.98,54.53,300263.0,28.05,2.56,1605.0,True,2.0,True
19,2014,1,426589.0,1,967968,1580582.0,28,61.24,44.07,173106.0,17.88,3.23,1605.0,True,1.0,False
20,2014,1,534583.0,1,1104606,1636738.0,15,67.49,48.4,114059.0,10.33,2.63,7425.0,True,1.0,False
21,2014,1,595918.0,1,999265,1653058.0,13,60.45,59.64,364666.0,36.49,2.33,7425.0,False,6.0,True
22,2014,1,474978.0,1,926281,1577457.0,11,58.72,51.28,201001.0,21.7,2.7,1605.0,True,1.0,False
23,2014,1,498378.0,1,1027594,1769145.0,15,58.08,48.5,166347.0,16.19,2.78,7425.0,True,3.0,True
24,2014,1,409907.0,1,995641,1653577.0,13,60.21,41.17,138429.0,13.9,3.45,1605.0,True,2.0,True
25,2014,1,518258.0,1,1017891,1664081.0,14,61.17,50.91,240685.0,23.65,2.86,1605.0,True,9.0,True
26,2014,1,546934.0,1,1050547,1671154.0,12,62.86,52.06,307052.0,29.23,2.86,1605.0,True,9.0,True
27,2014,1,525132.0,3,1129841,1979294.0,13,57.08,46.48,235529.0,20.85,2.94,1605.0,True,2.0,True
28,2014,1,398578.0,1,1077868,1679466.0,11,64.18,36.98,110274.0,10.23,3.85,1605.0,True,2.0,True
29,2014,1,360357.0,1,1060271,1558041.0,15,68.05,33.99,125675.0,11.85,4.0,1605.0,True,1.0,False
30,2014,1,417546.0,1,1026972,1550263.0,16,66.25,40.66,51027.0,4.97,3.12,1605.0,True,3.0,False
31,2014,1,360501.0,3,972896,1714388.0,15,56.75,37.05,81343.0,8.36,3.33,1605.0,True,1.0,False
32,2014,1,412575.0,3,998314,1725589.0,14,57.85,41.33,87363.0,8.75,3.12,1605.0,True,1.0,False
33,2014,1,518834.0,1,1201603,2164392.0,21,55.52,43.18,310173.0,25.81,3.57,1605.0,True,5.0,True
34,2014,1,455274.0,3,1116588,1838194.0,18,60.74,40.77,145416.0,13.02,3.33,1605.0,True,3.0,False
35,2014,1,561106.0,1,1033883,1949956.0,29,53.02,54.27,272749.0,26.38,2.7,1605.0,True,2.0,True
36,2014,1,526434.0,1,825136,1594954.0,17,51.73,63.8,352713.0,42.75,2.17,3482.0,True,5.0,True
37,2014,1,408651.0,1,874625,1669843.0,34,52.38,46.72,107903.0,12.34,2.94,3482.0,True,3.0,True
38,2014,1,410348.0,1,964981,1703698.0,15,56.64,42.52,178902.0,18.54,3.33,1605.0,True,2.0,True
39,2014,1,375789.0,1,894456,1716394.0,15,52.11,42.01,168222.0,18.81,3.7,954.0,True,1.0,False
40,2014,1,406195.0,1,970677,1613781.0,22,60.15,41.85,150502.0,15.5,3.7,1605.0,True,2.0,False
41,2014,1,439646.0,3,939604,1707237.0,10,55.04,46.79,172946.0,18.41,2.94,1605.0,True,1.0,False
42,2014,1,489164.0,1,1114460,1808886.0,12,61.61,43.89,19907.0,1.79,2.63,7425.0,True,2.0,True
43,2014,1,474712.0,1,835079,1611248.0,21,51.83,56.85,222946.0,26.7,2.44,1605.0,True,8.0,True
44,2014,1,481584.0,1,971375,1768635.0,18,54.92,49.58,278997.0,28.72,3.12,1605.0,True,1.0,False
45,2014,1,548631.0,3,1109166,1887189.0,11,58.77,49.46,287202.0,25.89,2.94,1605.0,True,6.0,True
46,2014,1,575889.0,1,1320804,1932052.0,15,68.36,43.6,190467.0,14.42,3.23,1605.0,True,7.0,False
47,2014,1,453884.0,1,975240,1737993.0,15,56.11,46.54,266788.0,27.36,3.33,1605.0,True,1.0,False
48,2014,1,342066.0,1,858326,1601855.0,13,53.58,39.85,115788.0,13.49,3.57,1605.0,True,3.0,True
49,2014,1,485994.0,1,1056688,1804753.0,14,58.55,45.99,187206.0,17.72,3.12,1605.0,True,1.0,False
50,2014,1,331724.0,3,910414,1738509.0,11,52.37,36.44,42900.0,4.71,3.57,1605.0,True,1.0,False
51,2014,1,503564.0,1,960341,1913275.0,15,50.19,52.44,308308.0,32.1,2.94,1605.0,False,2.0,False
52,2014,1,313772.0,1,891586,1666569.0,23,53.5,35.19,62009.0,6.95,4.17,1605.0,True,4.0,True
53,2014,1,454214.0,3,1068168,1721278.0,14,62.06,42.52,211878.0,19.84,3.7,1605.0,True,1.0,False
54,2014,1,491761.0,1,1022716,1738701.0,11,58.82,48.08,282775.0,27.65,3.23,1605.0,True,3.0,True
55,2014,1,432104.0,1,1034404,1718774.0,14,60.18,41.77,139429.0,13.48,3.33,1605.0,True,1.0,False
56,2014,1,432392.0,3,934263,1638640.0,10,57.01,46.28,95645.0,10.24,2.86,1605.0,True,1.0,False
57,2014,1,381500.0,1,943357,1711967.0,14,55.1,40.44,78218.0,8.29,3.57,1605.0,True,5.0,True
58,2014,1,345964.0,1,979638,1788080.0,14,54.79,35.32,85913.0,8.77,4.17,1605.0,True,1.0,False
59,2014,1,359639.0,1,873728,1710825.0,15,51.07,41.16,160412.0,18.36,4.0,1605.0,True,5.0,True
60,2014,1,298845.0,1,935027,1761415.0,17,53.08,31.96,103588.0,11.08,5.26,1605.0,True,4.0,True
61,2014,1,357680.0,1,1048534,1787476.0,13,58.66,34.11,33562.0,3.2,3.45,1605.0,True,1.0,False
62,2014,1,348892.0,1,1011649,1904315.0,25,53.12,34.49,97978.0,9.68,4.17,1605.0,True,2.0,True
63,2014,1,471542.0,1,1056078,1743131.0,23,60.59,44.65,240458.0,22.77,3.45,1605.0,True,7.0,True
64,2014,1,539127.0,1,1040199,1903988.0,15,54.63,51.83,312783.0,30.07,2.86,1605.0,False,5.0,True
65,2014,1,370051.0,1,950446,1680992.0,14,56.54,38.93,85540.0,9.0,3.7,1605.0,True,1.0,False
66,2014,1,496500.0,1,971557,1806926.0,15,53.77,51.1,265386.0,27.32,2.94,1605.0,True,1.0,False
67,2014,1,417959.0,3,877877,1760090.0,12,49.88,47.61,189516.0,21.59,3.12,1605.0,True,2.0,True
68,2014,1,324016.0,3,898655,1661470.0,14,54.09,36.06,63086.0,7.02,3.57,1605.0,True,2.0,True
69,2014,1,340306.0,1,960218,1703121.0,18,56.38,35.44,63204.0,6.58,3.45,7425.0,True,6.0,True
70,2014,1,379797.0,1,1039656,1891112.0,18,54.98,36.53,146015.0,14.04,4.17,1605.0,True,1.0,False
71,2014,1,392213.0,1,854749,1661737.0,13,51.44,45.89,232342.0,27.18,3.57,1605.0,True,1.0,False
72,2014,1,359758.0,1,942211,1768271.0,15,53.28,38.18,139434.0,14.8,4.0,1605.0,True,2.0,False
73,2014,1,367149.0,1,1007143,1848842.0,21,54.47,36.45,146310.0,14.53,4.76,1605.0,True,1.0,False
74,2014,1,438210.0,3,997902,1891969.0,15,52.74,43.91,172155.0,17.25,3.33,1605.0,True,1.0,False
75,2014,1,306929.0,1,986673,1801519.0,18,54.77,31.11,32452.0,3.29,4.17,1605.0,True,7.0,True
76,2014,1,414135.0,1,980572,1593133.0,21,61.55,42.23,156756.0,15.99,3.45,1605.0,True,2.0,True
77,2014,1,581022.0,1,1030685,1766487.0,42,58.35,56.37,371784.0,36.07,2.7,1605.0,True,1.0,False
78,2014,1,403695.0,1,981866,1834598.0,14,53.52,41.12,158141.0,16.11,3.45,1605.0,True,8.0,False
79,2014,1,436536.0,1,1007627,1720661.0,23,58.56,43.32,219079.0,21.74,3.7,954.0,True,1.0,False
80,2014,1,378211.0,3,885873,1639074.0,14,54.05,42.69,190486.0,21.5,4.0,1605.0,True,1.0,False
1,2014,1,446733.0,1,776214,1352614.0,16,57.39,57.55,192503.0,24.8,2.27,1605.0,True,2.0,True
2,2014,1,405690.0,1,682024,1267218.0,10,53.82,59.48,184526.0,27.06,2.17,1605.0,True,5.0,False
3,2014,1,348186.0,3,656525,1253541.0,9,52.37,53.03,95690.0,14.58,2.33,1605.0,True,2.0,True
4,2014,1,636769.0,1,1101435,1610811.0,15,68.38,57.81,284717.0,25.85,2.33,1605.0,True,2.0,False
5,2014,1,592320.0,1,1175692,1642873.0,24,71.56,50.38,177822.0,15.12,2.63,1605.0,True,1.0,False
1,2014,1,526499.0,3,1332409,1613403.0,12,82.58,39.51,87107.0,6.54,3.33,18228.0,False,1.0,False
2,2014,1,362453.0,2,1223566,1470911.0,10,83.18,29.62,21397.0,1.75,3.85,18228.0,True,1.0,False
3,2014,1,494773.0,3,1302117,1531469.0,12,85.02,38.0,69606.0,5.35,3.57,18228.0,True,1.0,False
4,2014,1,488257.0,1,1142009,1437154.0,13,79.46,42.75,197239.0,17.27,3.7,1605.0,True,1.0,False
5,2014,1,317515.0,1,1108193,1387526.0,12,79.87,28.65,1634.0,0.15,4.55,14635.0,True,4.0,True
6,2014,1,409641.0,1,1063053,1254497.0,12,84.74,38.53,106964.0,10.06,3.57,18228.0,True,1.0,False
7,2014,1,388609.0,1,1162985,1425428.0,14,81.59,33.41,65705.0,5.65,4.17,3482.0,True,2.0,True
8,2014,1,380291.0,1,1092407,1347143.0,17,81.09,34.81,164111.0,15.02,4.35,3482.0,True,4.0,True
9,2014,1,378201.0,1,1119084,1391656.0,11,80.41,33.8,8161.0,0.73,3.85,3482.0,True,2.0,True
10,2014,1,583549.0,1,1154587,1453783.0,8,79.42,50.54,356567.0,30.88,2.94,3482.0,True,4.0,True
11,2014,1,426947.0,1,1287763,1512098.0,12,85.16,33.15,18453.0,1.43,3.7,14635.0,True,1.0,False
12,2014,1,438789.0,1,1247914,1476783.0,9,84.5,35.16,71255.0,5.71,3.57,18228.0,True,2.0,True
13,2014,1,590451.0,3,1353196,1602849.0,9,84.42,43.63,201767.0,14.91,3.33,18228.0,True,1.0,False
14,2014,1,551213.0,3,1283688,1540713.0,11,83.32,42.94,146601.0,11.42,3.12,18228.0,False,1.0,False
15,2014,1,479206.0,1,1051130,1287222.0,12,81.66,45.59,206773.0,19.67,3.03,18228.0,True,2.0,True
16,2014,1,483244.0,1,1132644,1405981.0,9,80.56,42.67,154934.0,13.68,3.23,18228.0,True,5.0,True
17,2014,1,525387.0,1,1269331,1512792.0,12,83.91,41.39,173141.0,13.64,3.33,18228.0,True,4.0,True
18,2014,1,492326.0,1,1273771,1490596.0,9,85.45,38.65,109659.0,8.61,3.57,18228.0,True,1.0,False
19,2014,1,494746.0,3,1189048,1458724.0,10,81.51,41.61,108384.0,9.12,3.33,18228.0,True,1.0,False
20,2014,1,630262.0,3,1270985,1488785.0,10,85.37,49.59,138768.0,10.92,2.5,18228.0,True,2.0,True
21,2014,1,508481.0,1,1261296,1555914.0,16,81.06,40.31,71298.0,5.65,3.23,18228.0,True,1.0,False
22,2014,1,584244.0,1,1272362,1595746.0,13,79.73,45.92,125203.0,9.84,2.86,18228.0,True,1.0,False
23,2014,1,431715.0,1,1167986,1685296.0,15,69.3,36.96,136339.0,11.67,3.7,18228.0,True,2.0,True
24,2014,1,343687.0,1,955778,1433985.0,18,66.65,35.96,96226.0,10.07,3.85,18228.0,True,5.0,True
25,2014,1,488461.0,1,1125399,1505099.0,15,74.77,43.4,196956.0,17.5,3.23,18228.0,True,2.0,True
26,2014,1,570785.0,1,1186027,1448632.0,13,81.87,48.13,201222.0,16.97,2.94,18228.0,False,3.0,True
27,2014,1,514933.0,1,1290433,1624038.0,10,79.46,39.9,152526.0,11.82,3.45,18228.0,True,2.0,True
28,2014,1,614312.0,1,1348870,1630042.0,9,82.75,45.54,189084.0,14.02,2.94,18228.0,True,2.0,True
29,2014,1,748764.0,3,1361934,1600293.0,5,85.11,54.98,346845.0,25.47,2.5,18228.0,True,1.0,False
30,2014,1,716928.0,1,1337684,1527273.0,10,87.59,53.59,246481.0,18.43,2.44,18228.0,False,3.0,True
31,2014,1,676749.0,1,1290811,1490409.0,7,86.61,52.43,229490.0,17.78,2.5,18228.0,True,3.0,True
32,2014,1,685696.0,1,1366909,1610489.0,10,84.88,50.16,260891.0,19.09,2.78,18228.0,True,1.0,False
33,2014,1,674504.0,2,1257613,1475112.0,13,85.26,53.63,347883.0,27.66,2.7,18228.0,True,1.0,False
34,2014,1,580441.0,1,1260748,1499673.0,10,84.07,46.04,185128.0,14.68,3.03,18228.0,True,1.0,False
35,2014,1,468277.0,1,1204675,1471933.0,12,81.84,38.87,153877.0,12.77,3.57,18228.0,True,1.0,False
36,2014,1,483455.0,1,1236319,1503812.0,14,82.21,39.1,98506.0,7.97,3.45,18228.0,True,1.0,False
