Constituency_No,Year,Position,Votes,Candidate_Type,Valid_Votes,Electors,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Margin,Margin_Percentage,ENOP,Party_ID,last_poll,Contested,Recontest
5,2019,1,568378.0,3,1009456,1586117.0,7,63.64,56.31,166832.0,16.53,2.08,16651.0,True,2.0,True
6,2019,1,649416.0,1,1282206,1958939.0,13,65.45,50.65,97878.0,7.63,2.27,7425.0,True,2.0,True
7,2019,1,559177.0,0,1060921,1679506.0,11,63.17,52.71,109997.0,10.37,2.17,7425.0,True,1.0,False
8,2019,1,658006.0,1,1183469,1828764.0,12,64.71,55.6,174826.0,14.77,2.08,7425.0,True,7.0,True
9,2019,1,601082.0,1,1169182,1646435.0,10,71.01,51.41,63248.0,5.41,2.13,16651.0,True,1.0,False
10,2019,1,586184.0,1,1216413,1892931.0,11,64.26,48.19,4729.0,0.39,2.17,1605.0,True,4.0,True
11,2019,1,525789.0,1,1044894,1616476.0,13,64.64,50.32,23502.0,2.25,2.08,1605.0,True,2.0,True
12,2019,1,944503.0,1,1524456,2728978.0,12,55.86,61.96,501500.0,32.9,2.13,1605.0,True,2.0,True
13,2019,1,830812.0,1,1392952,2302960.0,13,60.49,59.64,336922.0,24.19,2.04,1605.0,True,2.0,True
14,2019,1,681321.0,3,1123629,1787925.0,9,62.85,60.64,290057.0,25.81,2.04,1605.0,True,2.0,True
15,2019,1,656215.0,1,1163184,1887127.0,14,61.64,56.42,229261.0,19.71,2.22,1605.0,True,3.0,True
16,2019,1,684299.0,3,1150294,1864320.0,8,61.7,59.49,260208.0,22.62,2.04,1605.0,True,1.0,False
17,2019,1,671293.0,1,1102731,1807893.0,13,61.0,60.88,293471.0,26.61,2.04,1605.0,True,2.0,True
18,2019,1,646875.0,3,1145323,1937690.0,9,59.11,56.48,211546.0,18.47,2.17,1605.0,True,7.0,True
19,2019,1,667147.0,1,1037151,1718837.0,15,60.34,64.32,495065.0,47.73,2.13,1605.0,True,1.0,False
20,2019,1,495819.0,1,1075866,1790510.0,6,60.09,46.09,28781.0,2.68,2.44,1605.0,True,1.0,False
21,2019,1,524926.0,1,976518,1723236.0,12,56.67,53.75,94389.0,9.67,2.08,7425.0,True,7.0,True
22,2019,1,545348.0,1,999607,1621295.0,14,61.65,54.56,122670.0,12.27,2.08,1605.0,True,2.0,True
23,2019,1,511352.0,1,1081111,1891576.0,9,57.15,47.3,18454.0,1.71,2.33,1605.0,True,2.0,False
24,2019,1,537675.0,1,1052795,1785605.0,14,58.96,51.07,113743.0,10.8,2.38,1605.0,True,3.0,True
25,2019,1,565270.0,1,1068342,1797655.0,16,59.43,52.91,167282.0,15.66,2.38,1605.0,True,10.0,True
26,2019,1,704549.0,1,1186589,1761207.0,13,67.37,59.38,255627.0,21.54,2.04,1605.0,True,3.0,True
27,2019,1,688990.0,3,1186157,2114201.0,14,56.1,58.09,268418.0,22.63,2.13,1605.0,True,1.0,False
28,2019,1,609589.0,1,1136660,1770699.0,15,64.19,53.63,218807.0,19.25,2.38,1605.0,True,3.0,True
29,2019,1,512905.0,1,1063840,1644674.0,8,64.68,48.21,160611.0,15.1,2.78,1605.0,True,2.0,True
30,2019,1,514528.0,1,1064521,1666126.0,12,63.89,48.33,100833.0,9.47,2.56,1605.0,True,4.0,True
31,2019,1,568143.0,3,1057558,1807119.0,11,58.52,53.72,132474.0,12.53,2.17,1605.0,True,8.0,True
32,2019,1,534429.0,3,1026668,1796932.0,13,57.13,52.05,100672.0,9.81,2.22,1605.0,True,4.0,True
33,2019,1,703507.0,1,1237076,2191465.0,9,56.45,56.87,400956.0,32.41,2.5,1605.0,True,6.0,True
34,2019,1,629999.0,3,1269594,2023431.0,12,62.74,49.62,90204.0,7.1,2.33,1605.0,True,4.0,True
35,2019,1,633026.0,1,1116445,2040367.0,15,54.72,56.7,347302.0,31.11,2.38,1605.0,True,3.0,True
36,2019,1,534918.0,1,958556,1702248.0,15,56.31,55.8,167178.0,17.44,2.17,3482.0,True,6.0,True
37,2019,1,468514.0,1,942453,1743515.0,27,54.05,49.71,55120.0,5.85,2.27,1605.0,True,3.0,True
38,2019,1,459196.0,1,1000316,1775196.0,15,56.35,45.91,14526.0,1.45,2.44,1605.0,True,10.0,True
39,2019,1,436291.0,1,914665,1708759.0,8,53.53,47.7,117752.0,12.87,2.78,1605.0,True,1.0,False
40,2019,1,569880.0,1,1002953,1708585.0,9,58.7,56.82,221702.0,22.1,2.27,1605.0,True,3.0,True
41,2019,1,522119.0,3,1027815,1757984.0,13,58.47,50.8,64437.0,6.27,2.17,1605.0,True,3.0,True
42,2019,1,563087.0,1,1140496,1874824.0,10,60.83,49.37,12353.0,1.08,2.13,1605.0,True,3.0,True
43,2019,1,468937.0,1,842994,1632983.0,14,51.62,55.63,155934.0,18.5,2.22,1605.0,True,2.0,False
44,2019,1,581282.0,1,1025314,1766121.0,14,58.05,56.69,275142.0,26.83,2.38,1605.0,True,2.0,True
45,2019,1,581763.0,3,1129955,1933358.0,5,58.45,51.49,158377.0,14.02,2.38,1605.0,True,7.0,True
46,2019,1,809272.0,1,1380890,2040739.0,11,67.67,58.61,365683.0,26.48,2.27,1605.0,True,1.0,False
47,2019,1,575122.0,1,1089778,1749100.0,14,62.31,52.77,248652.0,22.82,2.63,1605.0,True,2.0,True
48,2019,1,477926.0,1,1034549,1702024.0,8,60.78,46.2,58938.0,5.7,2.63,1605.0,True,4.0,True
49,2019,1,566040.0,1,1043655,1839312.0,10,56.74,54.24,198205.0,18.99,2.44,1605.0,True,2.0,True
50,2019,1,383009.0,3,974438,1787120.0,12,54.53,39.31,38722.0,3.97,3.33,1605.0,True,2.0,True
51,2019,1,544701.0,1,978236,2010477.0,14,48.66,55.68,171968.0,17.58,2.17,1605.0,True,2.0,False
52,2019,1,494454.0,1,889056,1716160.0,14,51.8,55.62,184275.0,20.73,2.33,1605.0,True,5.0,True
53,2019,1,535917.0,3,1155341,1816830.0,13,63.59,46.39,110140.0,9.53,2.63,1605.0,True,1.0,False
54,2019,1,529021.0,1,1087121,1821785.0,13,59.67,48.66,65477.0,6.02,2.38,1605.0,True,4.0,True
55,2019,1,564118.0,1,1090152,1785657.0,11,61.05,51.75,95880.0,8.8,2.22,16651.0,True,1.0,False
56,2019,1,525982.0,3,989848,1729908.0,10,57.22,53.14,128752.0,13.01,2.27,1605.0,True,2.0,False
57,2019,1,581358.0,1,981400,1805946.0,12,54.34,59.24,261601.0,26.66,2.17,1605.0,True,6.0,True
58,2019,1,441771.0,0,997007,1914739.0,10,52.07,44.31,5320.0,0.53,2.56,16651.0,True,1.0,False
59,2019,1,508190.0,1,923816,1770248.0,15,52.19,55.01,166360.0,18.01,2.27,1605.0,True,6.0,True
60,2019,1,492253.0,1,985269,1885433.0,10,52.26,49.96,105321.0,10.69,2.5,1605.0,True,5.0,True
61,2019,1,471162.0,1,1054539,1845223.0,11,57.15,44.68,30354.0,2.88,2.63,1605.0,True,2.0,True
62,2019,1,467543.0,1,1063390,1962903.0,7,54.17,43.97,35749.0,3.36,2.78,1605.0,True,2.0,True
63,2019,1,726349.0,1,1226916,1915408.0,14,64.06,59.2,340424.0,27.75,2.22,1605.0,True,8.0,True
